No,provinsi,UpahMinimum,kecamatan
2,SUMATERA UTARA,2.992.559,BONATUA LUNASI
2,SUMATERA UTARA,2.992.559,PARMAKSIAN
2,SUMATERA UTARA,2.992.559,PANYABUNGAN
2,SUMATERA UTARA,2.992.559,PANYABUNGAN UTARA
2,SUMATERA UTARA,2.992.559,PANYABUNGAN TIMUR
2,SUMATERA UTARA,2.992.559,PANYABUNGAN SELATAN
2,SUMATERA UTARA,2.992.559,PANYABUNGAN BARAT
2,SUMATERA UTARA,2.992.559,SIABU
2,SUMATERA UTARA,2.992.559,BUKIT MALINTANG
2,SUMATERA UTARA,2.992.559,KOTANOPAN
2,SUMATERA UTARA,2.992.559,LEMBAH SORIK MARAPI
2,SUMATERA UTARA,2.992.559,TAMBANGAN
2,SUMATERA UTARA,2.992.559,ULU PUNGKUT
2,SUMATERA UTARA,2.992.559,MUARA SIPONGI
2,SUMATERA UTARA,2.992.559,BATANG NATAL
2,SUMATERA UTARA,2.992.559,LINGGA BAYU
2,SUMATERA UTARA,2.992.559,BATAHAN
2,SUMATERA UTARA,2.992.559,NATAL
2,SUMATERA UTARA,2.992.559,MUARA BATANG GADIS
2,SUMATERA UTARA,2.992.559,RANTO BAEK
2,SUMATERA UTARA,2.992.559,HUTA BARGOT
2,SUMATERA UTARA,2.992.559,PUNCAK SORIK MARAPI
2,SUMATERA UTARA,2.992.559,PAKANTAN
2,SUMATERA UTARA,2.992.559,SINUNUKAN
2,SUMATERA UTARA,2.992.559,NAGA JUANG
2,SUMATERA UTARA,2.992.559,LOLOMATUA
2,SUMATERA UTARA,2.992.559,GOMO
2,SUMATERA UTARA,2.992.559,LAHUSA
2,SUMATERA UTARA,2.992.559,HIBALA
2,SUMATERA UTARA,2.992.559,PULAU-PULAU BATU
2,SUMATERA UTARA,2.992.559,TELUK DALAM
2,SUMATERA UTARA,2.992.559,AMANDRAYA
2,SUMATERA UTARA,2.992.559,LOLOWAU
2,SUMATERA UTARA,2.992.559,SUSUA
2,SUMATERA UTARA,2.992.559,MANIAMOLO
2,SUMATERA UTARA,2.992.559,HILIMEGAI
2,SUMATERA UTARA,2.992.559,TOMA
2,SUMATERA UTARA,2.992.559,MAZINO
2,SUMATERA UTARA,2.992.559,UMBUNASI
2,SUMATERA UTARA,2.992.559,ARAMO
2,SUMATERA UTARA,2.992.559,PULAU-PULAU BATU TIMUR
2,SUMATERA UTARA,2.992.559,MAZO
2,SUMATERA UTARA,2.992.559,FANAYAMA
2,SUMATERA UTARA,2.992.559,ULUNOYO
